sequence,ORB-SLAM3,YDM-SLAM,ReFusion,Panoptic-SLAM,YOSO-SLAM,Mask2Former-SLAM
Sitting static,0.0084,0.0064,0.0101,0.0066,0.007,0.0074
Sitting xyz,0.0092,0.0127,0.0265,0.0124,0.0138,0.0128
Sitting rpy,0.0259,0.027,0.2057,0.046,0.0288,0.0267
Sitting halfsphere,0.0537,0.0198,0.0353,0.0169,0.0169,0.0183
Walking static,0.4104,0.034,0.0173,0.0154,0.0166,0.0172
Walking xyz,0.7366,0.0153,0.0743,0.0145,0.0146,0.0152
Walking rpy,0.586,0.0347,0.2665,0.0319,0.0379,0.0407
Walking halfsphere,0.5079,0.0273,0.048,0.0276,0.0268,0.0249
Balloon,0.0461,0.0267,0.1056,0.0289,0.0304,0.0324
Balloon2,0.225,0.0258,0.0937,0.0265,0.0234,0.0268
Balloon tracking,0.0312,0.0416,0.2035,0.0324,0.0448,0.0377
Balloon tracking2,0.0315,0.0329,0.246,0.0317,0.0297,0.031
Crowd,1.6708,0.0291,0.1166,0.264,0.0853,0.0668
Crowd2,0.8904,0.1036,1.634,0.6282,0.6155,0.4312
Crowd3,0.7972,0.0286,0.0664,0.0273,0.032,0.0543
Kidnapping,0.025,0.025,0.1284,0.0317,0.0306,0.0331
Kidnapping2,0.0228,0.023,0.1205,0.0258,0.0249,0.0241
Moving No Box,0.1154,0.2536,0.0623,0.1177,0.2282,0.1681
Moving No Box2,0.0495,0.0344,0.1219,0.0357,0.0324,0.0365
Moving O Box,0.6323,0.4323,0.2609,0.4507,0.4133,0.4545
Moving O Box2,0.6386,0.7734,0.2087,0.404,0.3474,0.4129
Person tracking,0.5674,0.0502,0.2293,0.0474,0.0405,0.0441
Person tracking2,0.7651,0.0559,0.3769,0.0833,0.1019,0.084
Placing No Box,0.5995,0.738,0.0966,0.6777,0.376,0.5627
Placing No Box2,0.0211,0.0238,0.1426,0.0206,0.0192,0.0188
Placing No Box3,0.0465,0.055,0.1622,0.0761,0.0293,0.026
Placing O Box,0.3357,0.2245,0.6561,0.2421,0.237,0.2334
Removing No Box,0.0158,0.0158,0.0389,0.0182,0.0166,0.0159
Removing No Box2,0.0204,0.0206,0.0996,0.0209,0.0235,0.0228
Removing O Box,0.35,0.3511,0.1585,0.3134,0.3446,0.3261
Synchronous,0.8114,0.1548,0.6473,0.1977,0.2368,0.269
Synchronous2,1.298,0.0079,0.0213,0.0161,0.0141,0.0104
