,YOSO-SLAM,Panoptic-SLAM,Mask2Former-SLAM,YDM-SLAM
Sitting static,1.262,1.492,2.247,0.082
Sitting xyz,1.202,1.387,2.192,0.087
Sitting rpy,1.026,1.275,1.982,0.076
Sitting halfsphere,1.06,1.251,2.009,0.082
Walking static,1.247,1.479,2.171,0.079
Walking xyz,1.15,1.405,2.085,0.083
Walking rpy,1.032,1.329,1.948,0.079
Walking halfsphere,1.099,1.333,2.0,0.087
Balloon,1.011,1.151,1.948,0.06
Balloon2,1.005,1.16,1.916,0.062
Balloon tracking,0.798,1.039,1.753,0.059
Balloon tracking2,0.831,1.039,1.755,0.059
Crowd,1.011,1.203,1.996,0.06
Crowd2,1.004,1.189,1.979,0.061
Crowd3,1.027,1.194,2.015,0.061
Kidnapping,0.891,1.086,1.829,0.061
Kidnapping2,0.894,1.059,1.83,0.063
Moving No Box,1.004,1.189,1.907,0.061
Moving No Box2,0.954,1.16,1.928,0.062
Moving O Box,0.874,1.03,1.807,0.056
Moving O Box2,0.925,1.048,1.823,0.06
Person tracking,0.903,1.128,1.827,0.061
Person tracking2,0.868,1.063,1.779,0.061
Placing No Box,0.945,1.154,1.947,0.062
Placing No Box2,0.981,1.17,1.948,0.059
Placing No Box3,0.975,1.171,1.937,0.058
Placing O Box,0.805,0.985,1.736,0.056
Removing No Box,0.996,1.168,1.966,0.06
Removing No Box2,0.959,1.178,1.931,0.058
Removing O Box,0.865,1.004,1.775,0.059
Synchronous,0.97,1.184,1.971,0.062
Synchronous2,0.925,1.02,1.829,0.059
