sequence,ATE_YOSO_full,ATE_V0_ORB-SLAM3,ATE_Panoptic-SLAM,ATE_V1_People,ATE_V2_People+Moving,ATE_V3_People+Unknown,time_YOSO_full,time_V0_ORB-SLAM3,time_Panoptic-SLAM,time_V1_People,time_V2_People+Moving,time_V3_People+Unknown
Sitting xyz,0.0138,0.0092,0.0124,0.0129,0.0131,0.0128,1.202,0.033,1.387,1.20994,1.21769,1.204
Sitting halfsphere,0.0169,0.0537,0.0169,0.0177,0.0174,0.0194,1.06,0.04,1.251,1.05922,1.05811,1.06
Walking xyz,0.0146,0.7366,0.0145,0.0146,0.0145,0.0149,1.15,0.046,1.405,1.15124,1.14216,1.155
Walking halfsphere,0.0268,0.5079,0.0276,0.0264,0.0267,0.0261,1.099,0.053,1.333,1.13333,1.098,1.103
Balloon,0.0304,0.0461,0.0289,0.0294,0.032,0.0303,1.011,0.031,1.151,1.09683,1.04879,1.018
Crowd3,0.032,0.7972,0.0273,0.0535,0.0321,0.0369,1.027,0.036,1.194,1.05575,1.05599,1.048
Moving No Box,0.2282,0.1154,0.1177,0.3055,0.1368,0.408,1.004,0.034,1.189,1.0176,1.00456,1.009
Person tracking,0.0405,0.5674,0.0474,0.0474,0.0424,0.0456,0.903,0.032,1.128,0.915664,0.925501,0.903
Placing No Box,0.376,0.5995,0.6777,0.7997,0.3957,0.638,0.945,0.034,1.154,0.935822,0.943779,0.948
Placing O Box,0.237,0.3357,0.2421,0.2903,0.2333,0.2552,0.805,0.029,0.985,0.812922,0.817781,0.804
